Iteracja;X0;X1;Krok
0;0.2;0.1;0.1
1;0.2;0.2;0
0;0.4;0.2;0.2
1;0.4;0.4;0
0;0.8;0.4;0.4
1;0.8;0.8;0
0;0.8;0.8;0.8
1;0.8;1.6;0
0;0.8;1.6;-0.4
1;0.8;1.6;0
0;0.87;1.75;0.07
1;0.87;1.75;-0.1575
0;1.01;2.05;0.14
1;1.08875;2.14375;0.07875
0;1.36875;2.74375;0.28
1;1.52625;2.93125;0.1575
0;2.08625;4.13125;0.56
1;2.40125;4.50625;0.315
0;2.40125;4.50625;1.12
1;3.03125;5.25625;0.63
0;3.03125;5.25625;0.223125
1;3.03125;5.25625;-1.61718
0;2.91969;5.07344;-0.111563
1;2.91969;5.07344;0.808589
0;2.69656;4.70781;-0.223125
1;2.69656;4.70781;-0.404294
0;2.69656;4.70781;-0.44625
1;2.69656;4.70781;0.202147
0;2.69656;4.70781;0.223125
1;2.69656;4.70781;-0.101074
0;2.69656;4.70781;-0.111563
1;2.69656;4.70781;0.0505368
0;2.69656;4.70781;0.0557813
1;2.67129;4.66558;-0.0252684
0;2.67129;4.66558;-0.0359956
1;2.66999;4.66337;-0.00130149
0;2.66999;4.66337;0.0179978
1;2.66999;4.66337;-0.00260299
0;2.66999;4.66337;-0.0089989
1;2.66999;4.66337;0.00130149
0;2.67449;4.67075;0.00449945
1;2.67384;4.66964;-0.000650747
0;2.6741;4.67005;0.000254721
1;2.6739;4.66972;-0.000195219
0;2.67441;4.67053;0.000509442
1;2.67402;4.66987;-0.000390439
0;2.67504;4.67149;0.00101888
1;2.67426;4.67017;-0.000780878
0;2.67426;4.67017;0.00203777
1;2.6727;4.66751;-0.00156176
0;2.6727;4.66751;-0.00101888
1;2.66957;4.6622;-0.00312351
0;2.67008;4.66301;0.000509442
1;2.67008;4.66301;-0.00624702
0;2.66971;4.66235;-0.000375931
1;2.6691;4.66132;-0.000605146
0;2.66835;4.66;-0.000751863
1;2.66835;4.66;-0.00121029
0;2.66685;4.65734;-0.00150373
1;2.66745;4.65837;0.000605146
0;2.66444;4.65307;-0.00300745
1;2.66565;4.65513;0.00121029
0;2.66565;4.65513;-0.0060149
1;2.66807;4.65924;0.00242058
0;2.66787;4.65886;-0.00020081
1;2.66824;4.65948;0.000363081
0;2.66783;4.65873;-0.000401619
1;2.66856;4.65996;0.000726163
0;2.66776;4.65845;-0.000803238
1;2.66921;4.66092;0.00145233
0;2.6676;4.6579;-0.00160648
1;2.6676;4.6579;0.00290465
0;2.66439;4.65187;-0.00321295
1;2.66439;4.65187;-0.00145233
0;2.65796;4.63979;-0.00642591
1;2.65869;4.64103;0.000726163
0;2.65869;4.64103;-0.0128518
1;2.66014;4.6435;0.00145233
0;2.65935;4.64192;-0.000793095
1;2.65982;4.64272;0.000471876
0;2.65824;4.63957;-0.00158619
1;2.65918;4.64118;0.000943752
0;2.65601;4.63488;-0.00317238
1;2.65789;4.63809;0.0018875
0;2.65155;4.62549;-0.00634476
1;2.65532;4.63191;0.00377501
0;2.65532;4.63191;-0.0126895
1;2.66287;4.64475;0.00755002
0;2.66287;4.64475;0.00634476
1;2.66287;4.64475;0.0151
0;2.66315;4.64487;0.000273174
1;2.66461;4.64736;0.0014628
0;2.66516;4.64761;0.000546347
1;2.66808;4.65258;0.00292559
0;2.66918;4.65308;0.00109269
1;2.66918;4.65308;0.00585118
0;2.67136;4.65408;0.00218539
1;2.66844;4.64911;-0.00292559
0;2.67281;4.65111;0.00437078
1;2.66695;4.64116;-0.00585118
0;2.6757;4.64516;0.00874155
1;2.66399;4.62527;-0.0117024
0;2.68148;4.63327;0.0174831
1;2.65807;4.59348;-0.0234047
0;2.69304;4.60949;0.0349662
1;2.64623;4.52991;-0.0468095
0;2.64623;4.52991;0.0699324
1;2.64623;4.52991;-0.0936189
0;2.64456;4.51843;-0.00166457
1;2.64456;4.51843;-0.00860006
0;2.64124;4.49546;-0.00332914
1;2.64554;4.50269;0.00430003
0;2.63888;4.45676;-0.00665829
1;2.64748;4.47122;0.00860006
0;2.64748;4.47122;-0.0133166
1;2.66468;4.50015;0.0172001
0;2.66468;4.50015;0.00184482
1;2.66468;4.50015;0.00301178
0;2.66375;4.50163;-0.000922411
1;2.66375;4.50163;-0.00150589
0;2.66375;4.50163;-0.00184482
1;2.66451;4.5029;0.000752944
0;2.66449;4.50317;-1.69467e-05
1;2.66457;4.5033;7.52945e-05
0;2.66453;4.50385;-3.38933e-05
1;2.66468;4.5041;0.000150589
0;2.66461;4.50521;-6.77866e-05
1;2.66461;4.50521;0.000301178
0;2.66448;4.50741;-0.000135573
1;2.66448;4.50741;-0.000150589
0;2.66448;4.50741;-0.000271147
1;2.66455;4.50753;7.52945e-05
0;2.66455;4.50753;4.6978e-06
1;2.66458;4.50759;3.01178e-05
0;2.66458;4.50735;-2.3489e-06
1;2.66464;4.50745;6.02356e-05
0;2.66464;4.50699;-4.6978e-06
1;2.66464;4.50699;0.000120471
0;2.66464;4.50699;8.33066e-06
1;2.66465;4.50701;9.03533e-06
0;2.66464;4.50703;-4.16533e-06
1;2.66466;4.50706;1.80707e-05
0;2.66465;4.50712;-8.33066e-06
1;2.66465;4.50712;3.61413e-05
0;2.66465;4.50713;1.461e-06
1;2.66466;4.50714;2.7106e-06
0;2.66466;4.50716;2.922e-06
1;2.66467;4.50717;5.4212e-06
0;2.66467;4.50722;5.844e-06
1;2.66467;4.50722;1.08424e-05
0;2.66468;4.50732;1.1688e-05
1;2.66468;4.50731;-5.4212e-06
0;2.66468;4.50731;2.3376e-05
1;2.66467;4.5073;-1.08424e-05
0;2.66467;4.5073;1.37832e-06
1;2.66467;4.5073;-8.1318e-07
0;2.66467;4.50729;-6.8916e-07
1;2.66467;4.50729;4.0659e-07
0;2.66467;4.50729;-2.8257e-08
1;2.66467;4.50729;4.0659e-08
0;2.66467;4.50728;-5.65141e-08
1;2.66467;4.50728;8.1318e-08
0;2.66467;4.50728;-1.13028e-07
1;2.66467;4.50728;1.62636e-07
0;2.66467;4.50728;-2.26056e-07
1;2.66467;4.50728;3.25272e-07
0;2.66467;4.50726;-4.52113e-07
1;2.66467;4.50726;6.50544e-07
0;2.66467;4.50726;-9.04225e-07
1;2.66467;4.50727;1.30109e-06
0;2.66467;4.50727;4.52113e-07
1;2.66467;4.50727;2.60218e-06
0;2.66467;4.50727;-2.26056e-07
1;2.66467;4.50727;5.20435e-06
0;2.66467;4.50727;4.28772e-07
1;2.66467;4.50727;5.16369e-07
0;2.66467;4.50727;-2.14386e-07
1;2.66467;4.50727;1.03274e-06
0;2.66467;4.50727;1.07193e-07
1;2.66467;4.50727;-5.16369e-07
0;2.66467;4.50727;6.23562e-08
1;2.66467;4.50727;5.16369e-08
0;2.66467;4.50727;1.24712e-07
1;2.66467;4.50727;1.03274e-07
0;2.66467;4.50727;-6.23562e-08
1;2.66467;4.50727;2.06548e-07
0;2.66467;4.50727;-1.24712e-07
1;2.66467;4.50727;4.13095e-07
0;2.66467;4.50727;2.36746e-08
1;2.66467;4.50727;3.61459e-08
0;2.66467;4.50727;-1.18373e-08
1;2.66467;4.50727;-1.80729e-08
0;2.66467;4.50727;5.91865e-09
1;2.66467;4.50727;9.03646e-09
0;2.66467;4.50727;1.18373e-08
1;2.66467;4.50727;-4.51823e-09
0;2.66467;4.50727;-5.91865e-09
1;2.66467;4.50727;2.25912e-09
0;2.66467;4.50727;2.95933e-09
1;2.66467;4.50727;-1.12956e-09
0;2.66467;4.50727;5.91865e-09
1;2.66467;4.50727;5.64779e-10
0;2.66467;4.50727;-2.95933e-09
1;2.66467;4.50727;-2.82389e-10
0;2.66467;4.50727;1.47966e-09
1;2.66467;4.50727;1.41195e-10
0;2.66467;4.50727;-7.39831e-10
1;2.66467;4.50727;-7.05974e-11
0;2.66467;4.50727;3.69916e-10
1;2.66467;4.50727;3.52987e-11
