t; alpha; omega
0; 0.0000000; 0.0000000
1; 0.0081768; 0.1607599
2; 0.0316102; 0.3052661
3; 0.0687156; 0.4343386
4; 0.1179908; 0.5487977
5; 0.1780152; 0.6494597
6; 0.2474498; 0.7371333
7; 0.3250356; 0.8126161
8; 0.4095928; 0.8766916
9; 0.5000193; 0.9301265
10; 0.5952884; 0.9736684
11; 0.6944475; 1.0080439
12; 0.7966152; 1.0339567
13; 0.9009794; 1.0520863
14; 1.0067948; 1.0630869
15; 1.1133802; 1.0675865
16; 1.2201156; 1.0661860
17; 1.3264399; 1.0594589
18; 1.4318481; 1.0479509
19; 1.5358881; 1.0321798
20; 1.6381583; 1.0126356
21; 1.7383049; 0.9897805
22; 1.8360186; 0.9640494
23; 1.9310326; 0.9358502
24; 2.0231192; 0.9055642
25; 2.1120878; 0.8735467
26; 2.1977819; 0.8401281
27; 2.2800769; 0.8056139
28; 2.3588776; 0.7702861
29; 2.4341157; 0.7344037
30; 2.5057478; 0.6982037
31; 2.5737531; 0.6619021
32; 2.6381314; 0.6256946
33; 2.6989011; 0.5897575
34; 2.7560973; 0.5542490
35; 2.8097700; 0.5193098
36; 2.8599824; 0.4850643
37; 2.9068096; 0.4516212
38; 2.9503366; 0.4190749
39; 2.9906572; 0.3875059
40; 3.0278727; 0.3569822
41; 3.0620904; 0.3275598
42; 3.0934229; 0.2992837
43; 3.1219865; 0.2721886
44; 3.1479008; 0.2463000
45; 3.1712873; 0.2216348
46; 3.1922689; 0.1982017
47; 3.2109688; 0.1760027
48; 3.2275104; 0.1550328
49; 3.2420160; 0.1352817
50; 3.2546068; 0.1167333
51; 3.2654021; 0.0993674
52; 3.2745189; 0.0831594
53; 3.2820717; 0.0680811
54; 3.2881718; 0.0541014
55; 3.2929274; 0.0411863
56; 3.2964433; 0.0292999
57; 3.2988205; 0.0184044
58; 3.3001559; 0.0084603
59; 3.3005429; -0.0005726
60; 3.3000704; -0.0087356
61; 3.2988234; -0.0160703
62; 3.2968826; -0.0226187
63; 3.2943245; -0.0284227
64; 3.2912215; -0.0335241
65; 3.2876417; -0.0379641
66; 3.2836493; -0.0417834
67; 3.2793044; -0.0450222
68; 3.2746629; -0.0477195
69; 3.2697772; -0.0499135
70; 3.2646958; -0.0516412
71; 3.2594633; -0.0529386
72; 3.2541212; -0.0538403
73; 3.2487073; -0.0543797
74; 3.2432563; -0.0545888
75; 3.2377996; -0.0544982
76; 3.2323657; -0.0541372
